Id. Acidente;Freguesia;Tipo Natureza;Natureza;Datahora;Entidades Fiscalizadoras;Id. Peao;Sexo;Acções Peão;Distrito;Concelho;Lesões a 30 dias;Peao Gr.Etario(<=5) SUM;Peao Gr.Etario(6-9) SUM;Peao Gr.Etario(10-14) SUM;Peao Gr.Etario(15-17) SUM;Peao Gr.Etario(18-20) SUM;Peao Gr.Etario(21-24) SUM;Peao Gr.Etario(25-29) SUM;Peao Gr.Etario(30-34) SUM;Peao Gr.Etario(35-39) SUM;Peao Gr.Etario(40-44) SUM;Peao Gr.Etario(45-49) SUM;Peao Gr.Etario (50-54) SUM;Peao Gr.Etario (55-59) SUM;Peao Gr.Etario (60-64) SUM;Peao Gr.Etario (65-69) SUM;Peao Gr.Etario (70-74) SUM;Peao Gr.Etario (>=75) SUM;Peao Gr.Etario(Não Def.) SUM
2010450824;Tavira (Santiago);Atropelamento;Atropelamento de peões;2010:05:09 09:35:00;Polícia de Segurança Pública;1;Masculino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Faro;Tavira;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010436485;Venda Nova;Atropelamento;Atropelamento de peões;2010:02:20 09:30:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Lisboa;Amadora;Ferido grave;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010432020;Mafamude;Atropelamento;Atropelamento de peões;2010:02:06 16:00:00;Polícia de Segurança Pública;2;Feminino;Atravessando em passagem sinalizada;Porto;Vila Nova de Gaia;Ferido leve;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010436841;Oliveira do Douro;Atropelamento;Atropelamento de peões;2010:02:26 21:15:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Porto;Vila Nova de Gaia;Ferido leve;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2010426907;<Sem Freguesia>;Atropelamento;Atropelamento de peões;2010:01:04 07:30:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Lisboa;Amadora;Ferido leve;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2010431708;Santa Isabel;Atropelamento;Atropelamento de peões;2010:02:05 08:15:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada com desrespeito da sinalização semafórica;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2010435564;Linda-a-Velha;Atropelamento;Atropelamento de peões;2010:02:11 14:45:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões, a menos de 50m de uma passagem;Lisboa;Oeiras;Ferido leve;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010450821;Aldoar;Atropelamento;Atropelamento de peões;2010:05:05 22:00:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Porto;Porto;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2010442519;Fânzeres;Atropelamento;Atropelamento de peões;2010:01:22 19:00:00;Guarda Nacional Republicana;1;Feminino;Atravessando em passagem sinalizada;Porto;Gondomar;Ferido leve;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010444463;Amora;Atropelamento;Atropelamento de peões;2010:04:01 13:10:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões, a menos de 50m de uma passagem;Setúbal;Seixal;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2010447931;Montijo;Atropelamento;Atropelamento com fuga;2010:03:18 21:25:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Setúbal;Montijo;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2010449731;São João de Brito;Atropelamento;Atropelamento com fuga;2010:04:28 17:30:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada;Lisboa;Lisboa;Ferido leve;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010449169;Reboleira;Atropelamento;Atropelamento de peões;2010:04:25 07:50:00;Polícia de Segurança Pública;1;Masculino;NÃO DEFINIDO;Lisboa;Amadora;Ferido leve;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2010447244;São Domingos de Benfica;Atropelamento;Atropelamento de peões;2010:02:01 13:20:00;Polícia de Segurança Pública;1;Masculino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2010448231;Camarate;Atropelamento;Atropelamento de peões;2010:04:12 08:30:00;Polícia de Segurança Pública;1;Masculino;Atravessando fora da passagem de peões, a menos de 50m de uma passagem;Lisboa;Loures;Ferido leve;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010434933;Bonfim;Atropelamento;Atropelamento de peões;2010:02:16 12:20:00;Polícia de Segurança Pública;1;Masculino;Atravessando em passagem sinalizada com desrespeito da sinalização semafórica;Porto;Porto;Ferido leve;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2010435308;Oeiras e São Julião da Barra;Atropelamento;Atropelamento de peões;2010:02:10 18:45:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Lisboa;Oeiras;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2010432933;Coração de Jesus;Atropelamento;Atropelamento de peões;2010:02:10 14:15:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Lisboa;Lisboa;Ferido leve;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010447323;Sacavém;Atropelamento;Atropelamento de peões;2010:03:05 15:50:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Lisboa;Loures;Ferido leve;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2010437175;Guarda (São Vicente);Atropelamento;Atropelamento de peões;2010:03:02 17:30:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Guarda;Guarda;Ferido leve;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2010435810;Carcavelos;Atropelamento;Atropelamento de peões;2010:02:21 19:50:00;Polícia de Segurança Pública;1;Masculino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Lisboa;Cascais;Ferido leve;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2010435878;Coimbra (Santa Cruz);Atropelamento;Atropelamento de peões;2010:02:23 15:20:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Coimbra;Coimbra;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2010446158;Sagres;Atropelamento;Atropelamento de peões;2010:02:22 02:30:00;Guarda Nacional Republicana;1;Masculino;Em plena faixa de rodagem;Faro;Vila do Bispo;Ferido leve;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2010456704;<Sem Freguesia>;Atropelamento;Atropelamento de peões;2010:06:02 14:45:00;Polícia de Segurança Pública;1;Feminino;Em ilhéu ou refúgio na via;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010457606;Negrelos (São Tomé);Atropelamento;Atropelamento de peões;2010:04:26 19:00:00;Guarda Nacional Republicana;2;Feminino;Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo;Porto;Santo Tirso;Ferido leve;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010455793;Rebordosa;Atropelamento;Atropelamento de peões;2010:04:10 14:45:00;Guarda Nacional Republicana;1;Masculino;Em plena faixa de rodagem;Porto;Paredes;Ferido leve;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010456208;Oliveira de Azeméis;Atropelamento;Atropelamento de peões;2010:04:06 11:40:00;Guarda Nacional Republicana;1;Feminino;Atravessando em passagem sinalizada;Aveiro;Oliveira de Azemeis;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2010443831;Graça;Atropelamento;Atropelamento de peões;2010:03:24 13:45:00;Polícia de Segurança Pública;1;Feminino;Transitando pela berma ou passeio;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2010434953;Faro (Sé);Atropelamento;Atropelamento de peões;2010:02:15 13:40:00;Polícia de Segurança Pública;2;Masculino;Atravessando em passagem sinalizada;Faro;Faro;Ferido leve;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010437140;Leça do Bailio;Atropelamento;Atropelamento de peões;2010:03:03 07:55:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Porto;Matosinhos;Ferido leve;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
